CustomerID,AccountType,Month,EnergyConsumption_kWh
RC1015,Residential,2024-03,351
RC1015,Residential,2024-04,345
RC1015,Residential,2024-05,378
RC1016,Commercial,2024-01,1283
RC1016,Commercial,2024-02,1327
RC1016,Commercial,2024-03,1016
RC1016,Commercial,2024-04,983
RC1016,Commercial,2024-05,1100
RC1017,Residential,2024-01,450
RC1017,Residential,2024-02,410
RC1017,Residential,2024-03,340
RC1017,Residential,2024-04,332
RC1017,Residential,2024-05,358
RC1018,Residential,2024-01,502
RC1018,Residential,2024-02,512
RC1018,Residential,2024-03,366
RC1018,Residential,2024-04,375
RC1018,Residential,2024-05,404
RC1019,Residential,2024-01,355
RC1019,Residential,2024-02,346
RC1019,Residential,2024-03,248
RC1019,Residential,2024-04,228
RC1019,Residential,2024-05,271
RC1020,Commercial,2024-01,1724
RC1020,Commercial,2024-02,1928
RC1020,Commercial,2024-03,1299
RC1020,Commercial,2024-04,1405
RC1020,Commercial,2024-05,1610
RC1021,Residential,2024-01,306
RC1021,Residential,2024-02,328
RC1021,Residential,2024-03,240
RC1021,Residential,2024-04,232
RC1021,Residential,2024-05,284
RC1022,Residential,2024-01,451
RC1022,Residential,2024-02,476
RC1022,Residential,2024-03,342
RC1022,Residential,2024-04,355
RC1022,Residential,2024-05,381
RC1023,Residential,2024-01,528
RC1023,Residential,2024-02,510
RC1023,Residential,2024-03,347
RC1023,Residential,2024-04,379
RC1023,Residential,2024-05,391
RC1024,Commercial,2024-01,2024
RC1024,Commercial,2024-02,1990
RC1024,Commercial,2024-03,1513
RC1024,Commercial,2024-04,1411
RC1024,Commercial,2024-05,1592
RC1025,Residential,2024-01,352
RC1025,Residential,2024-02,352
RC1025,Residential,2024-03,224
RC1025,Residential,2024-04,221
RC1025,Residential,2024-05,289
RC1026,Residential,2024-01,389
RC1026,Residential,2024-02,416
RC1026,Residential,2024-03,301
RC1026,Residential,2024-04,293
RC1026,Residential,2024-05,328
RC1027,Residential,2024-01,414
RC1027,Residential,2024-02,419
RC1027,Residential,2024-03,277
RC1027,Residential,2024-04,270
RC1027,Residential,2024-05,312
RC1028,Commercial,2024-01,1425
RC1028,Commercial,2024-02,1499
RC1028,Commercial,2024-03,1102
RC1028,Commercial,2024-04,1126
RC1028,Commercial,2024-05,1251
RC1029,Residential,2024-01,399
RC1029,Residential,2024-02,423
RC1029,Residential,2024-03,313
RC1029,Residential,2024-04,296
RC1029,Residential,2024-05,340
RC1030,Residential,2024-01,424
RC1030,Residential,2024-02,457
RC1030,Residential,2024-03,320
RC1030,Residential,2024-04,337
RC1030,Residential,2024-05,375
RC1031,Residential,2024-01,396
RC1031,Residential,2024-02,393
RC1031,Residential,2024-03,281
RC1031,Residential,2024-04,255
RC1031,Residential,2024-05,325
RC1032,Commercial,2024-01,1494
RC1032,Commercial,2024-02,1553
RC1032,Commercial,2024-03,1093
RC1032,Commercial,2024-04,1238
RC1032,Commercial,2024-05,1287
RC1033,Residential,2024-01,405
RC1033,Residential,2024-02,382
RC1033,Residential,2024-03,273
RC1033,Residential,2024-04,297
RC1033,Residential,2024-05,319
RC1034,Residential,2024-01,507
RC1034,Residential,2024-02,487
RC1034,Residential,2024-03,358
RC1034,Residential,2024-04,345
RC1034,Residential,2024-05,409
RC1035,Residential,2024-01,305
RC1035,Residential,2024-02,316
RC1035,Residential,2024-03,241
RC1035,Residential,2024-04,245
RC1035,Residential,2024-05,270
RC1036,Commercial,2024-01,1562
RC1036,Commercial,2024-02,1663
RC1036,Commercial,2024-03,1213
RC1036,Commercial,2024-04,1288
RC1036,Commercial,2024-05,1417
RC1037,Residential,2024-01,311
RC1037,Residential,2024-02,310
RC1037,Residential,2024-03,236
RC1037,Residential,2024-04,215
RC1037,Residential,2024-05,258
RC1038,Residential,2024-01,382
RC1038,Residential,2024-02,416
RC1038,Residential,2024-03,295
RC1038,Residential,2024-04,266
RC1038,Residential,2024-05,323
RC1039,Residential,2024-01,335
RC1039,Residential,2024-02,374
RC1039,Residential,2024-03,240
RC1039,Residential,2024-04,267
RC1039,Residential,2024-05,310
RC1040,Commercial,2024-01,1480
RC1040,Commercial,2024-02,1390
RC1040,Commercial,2024-03,1080
RC1040,Commercial,2024-04,1137
RC1040,Commercial,2024-05,1187
RC1041,Residential,2024-01,335
RC1041,Residential,2024-02,357
RC1041,Residential,2024-03,257
RC1041,Residential,2024-04,259
RC1041,Residential,2024-05,275
RC1042,Residential,2024-01,442
RC1042,Residential,2024-02,462
RC1042,Residential,2024-03,301
RC1042,Residential,2024-04,341
RC1042,Residential,2024-05,369
RC1043,Residential,2024-01,506
RC1043,Residential,2024-02,483
RC1043,Residential,2024-03,354
RC1043,Residential,2024-04,341
RC1043,Residential,2024-05,381
RC1044,Commercial,2024-01,1897
RC1044,Commercial,2024-02,2039
RC1044,Commercial,2024-03,1525
RC1044,Commercial,2024-04,1482
RC1044,Commercial,2024-05,1697
RC1045,Residential,2024-01,420
RC1045,Residential,2024-02,424
RC1045,Residential,2024-03,314
RC1045,Residential,2024-04,285
RC1045,Residential,2024-05,335
RC1046,Residential,2024-01,354
RC1046,Residential,2024-02,358
RC1046,Residential,2024-03,263
RC1046,Residential,2024-04,265
RC1046,Residential,2024-05,297
RC1047,Residential,2024-01,373
RC1047,Residential,2024-02,385
RC1047,Residential,2024-03,304
RC1047,Residential,2024-04,281
RC1047,Residential,2024-05,327
RC1048,Commercial,2024-01,1952
RC1048,Commercial,2024-02,1808
RC1048,Commercial,2024-03,1337
RC1048,Commercial,2024-04,1318
RC1048,Commercial,2024-05,1614
RC1049,Residential,2024-01,418
RC1049,Residential,2024-02,445
RC1049,Residential,2024-03,305
RC1049,Residential,2024-04,309
RC1049,Residential,2024-05,351
RC1050,Residential,2024-01,355
RC1050,Residential,2024-02,346
RC1050,Residential,2024-03,248
RC1050,Residential,2024-04,265
RC1050,Residential,2024-05,288
RC1051,Residential,2024-01,394
RC1051,Residential,2024-02,362
RC1051,Residential,2024-03,269
RC1051,Residential,2024-04,273
RC1051,Residential,2024-05,339
RC1052,Commercial,2024-01,1448
RC1052,Commercial,2024-02,1391
RC1052,Commercial,2024-03,1039
RC1052,Commercial,2024-04,1123
RC1052,Commercial,2024-05,1276
RC1053,Residential,2024-01,367
RC1053,Residential,2024-02,386
RC1053,Residential,2024-03,272
RC1053,Residential,2024-04,254
RC1053,Residential,2024-05,297
RC1054,Residential,2024-01,472
RC1054,Residential,2024-02,485
RC1054,Residential,2024-03,327
RC1054,Residential,2024-04,309
RC1054,Residential,2024-05,369
RC1055,Residential,2024-01,353
RC1055,Residential,2024-02,383
RC1055,Residential,2024-03,284
RC1055,Residential,2024-04,242
RC1055,Residential,2024-05,298
RC1056,Commercial,2024-01,1629
RC1056,Commercial,2024-02,1774
RC1056,Commercial,2024-03,1179
RC1056,Commercial,2024-04,1306
RC1056,Commercial,2024-05,1346
RC1057,Residential,2024-01,436
RC1057,Residential,2024-02,403
RC1057,Residential,2024-03,297
RC1057,Residential,2024-04,340
RC1057,Residential,2024-05,377
RC1058,Residential,2024-01,444
RC1058,Residential,2024-02,416
RC1058,Residential,2024-03,299
RC1058,Residential,2024-04,317
RC1058,Residential,2024-05,337
RC1059,Residential,2024-01,495
RC1059,Residential,2024-02,462
RC1059,Residential,2024-03,337
RC1059,Residential,2024-04,319
RC1059,Residential,2024-05,391
RC1060,Commercial,2024-01,1535
RC1060,Commercial,2024-02,1341
RC1060,Commercial,2024-03,999
RC1060,Commercial,2024-04,1047
RC1060,Commercial,2024-05,1196
RC1061,Residential,2024-01,356
RC1061,Residential,2024-02,320
RC1061,Residential,2024-03,243
RC1061,Residential,2024-04,248
RC1061,Residential,2024-05,282
RC1062,Residential,2024-01,454
RC1062,Residential,2024-02,454
RC1062,Residential,2024-03,341
RC1062,Residential,2024-04,293
RC1062,Residential,2024-05,362
RC1063,Residential,2024-01,377
RC1063,Residential,2024-02,377
RC1063,Residential,2024-03,277
RC1063,Residential,2024-04,315
RC1063,Residential,2024-05,331
RC1064,Commercial,2024-01,1888
RC1064,Commercial,2024-02,1789
RC1064,Commercial,2024-03,1480
RC1064,Commercial,2024-04,1253
RC1064,Commercial,2024-05,1569
RC1065,Residential,2024-01,352
RC1065,Residential,2024-02,384
RC1065,Residential,2024-03,250
RC1065,Residential,2024-04,259
RC1065,Residential,2024-05,315
RC1066,Residential,2024-01,420
RC1066,Residential,2024-02,415
RC1066,Residential,2024-03,278
RC1066,Residential,2024-04,281
RC1066,Residential,2024-05,337
RC1067,Residential,2024-01,447
RC1067,Residential,2024-02,458
RC1067,Residential,2024-03,348
RC1067,Residential,2024-04,333
RC1067,Residential,2024-05,390
RC1068,Commercial,2024-01,1936
RC1068,Commercial,2024-02,2006
RC1068,Commercial,2024-03,1355
RC1068,Commercial,2024-04,1471
RC1068,Commercial,2024-05,1609
RC1069,Residential,2024-01,468
RC1069,Residential,2024-02,435
RC1069,Residential,2024-03,334
RC1069,Residential,2024-04,320
RC1069,Residential,2024-05,385
RC1070,Residential,2024-01,420
RC1070,Residential,2024-02,454
RC1070,Residential,2024-03,336
RC1070,Residential,2024-04,304
RC1070,Residential,2024-05,366
RC1071,Residential,2024-01,345
RC1071,Residential,2024-02,370
RC1071,Residential,2024-03,291
RC1071,Residential,2024-04,277
RC1071,Residential,2024-05,296
RC1072,Commercial,2024-01,1326
RC1072,Commercial,2024-02,1386
RC1072,Commercial,2024-03,1084
RC1072,Commercial,2024-04,981
RC1072,Commercial,2024-05,1110
RC1073,Residential,2024-01,331
RC1073,Residential,2024-02,338
RC1073,Residential,2024-03,248
RC1073,Residential,2024-04,255
RC1073,Residential,2024-05,281
RC1074,Residential,2024-01,410
RC1074,Residential,2024-02,443
RC1074,Residential,2024-03,329
RC1074,Residential,2024-04,298
RC1074,Residential,2024-05,369
RC1075,Residential,2024-01,515
RC1075,Residential,2024-02,453
RC1075,Residential,2024-03,368
RC1075,Residential,2024-04,368
RC1075,Residential,2024-05,413
RC1076,Commercial,2024-01,1436
RC1076,Commercial,2024-02,1453
RC1076,Commercial,2024-03,1113
RC1076,Commercial,2024-04,1024
RC1076,Commercial,2024-05,1177
RC1077,Residential,2024-01,380
RC1077,Residential,2024-02,379
RC1077,Residential,2024-03,276
RC1077,Residential,2024-04,273
RC1077,Residential,2024-05,350
RC1078,Residential,2024-01,395
RC1078,Residential,2024-02,408
RC1078,Residential,2024-03,295
RC1078,Residential,2024-04,304
RC1078,Residential,2024-05,340
RC1079,Residential,2024-01,336
RC1079,Residential,2024-02,347
RC1079,Residential,2024-03,258
RC1079,Residential,2024-04,272
RC1079,Residential,2024-05,300
RC1080,Commercial,2024-01,1932
RC1080,Commercial,2024-02,1772
RC1080,Commercial,2024-03,1350
RC1080,Commercial,2024-04,1281
RC1080,Commercial,2024-05,1518
RC1081,Residential,2024-01,412
RC1081,Residential,2024-02,380
RC1081,Residential,2024-03,305
RC1081,Residential,2024-04,286
RC1081,Residential,2024-05,328
RC1082,Residential,2024-01,418
RC1082,Residential,2024-02,390
RC1082,Residential,2024-03,307
RC1082,Residential,2024-04,289
RC1082,Residential,2024-05,308
RC1083,Residential,2024-01,473
RC1083,Residential,2024-02,520
RC1083,Residential,2024-03,355
RC1083,Residential,2024-04,377
RC1083,Residential,2024-05,383
RC1084,Commercial,2024-01,1410
RC1084,Commercial,2024-02,1421
RC1084,Commercial,2024-03,1074
RC1084,Commercial,2024-04,960
RC1084,Commercial,2024-05,1168
RC1085,Residential,2024-01,352
RC1085,Residential,2024-02,346
RC1085,Residential,2024-03,239
RC1085,Residential,2024-04,249
RC1085,Residential,2024-05,269
RC1086,Residential,2024-01,468
RC1086,Residential,2024-02,468
RC1086,Residential,2024-03,315
RC1086,Residential,2024-04,304
RC1086,Residential,2024-05,386
RC1087,Residential,2024-01,509
RC1087,Residential,2024-02,456
RC1087,Residential,2024-03,365
RC1087,Residential,2024-04,339
RC1087,Residential,2024-05,419
RC1088,Commercial,2024-01,2030
RC1088,Commercial,2024-02,2246
RC1088,Commercial,2024-03,1494
RC1088,Commercial,2024-04,1580
RC1088,Commercial,2024-05,1699
RC1089,Residential,2024-01,361
RC1089,Residential,2024-02,370
RC1089,Residential,2024-03,271
RC1089,Residential,2024-04,261
RC1089,Residential,2024-05,320
RC1090,Residential,2024-01,413
RC1090,Residential,2024-02,416
RC1090,Residential,2024-03,292
RC1090,Residential,2024-04,312
RC1090,Residential,2024-05,317
RC1091,Residential,2024-01,468
RC1091,Residential,2024-02,426
RC1091,Residential,2024-03,310
RC1091,Residential,2024-04,306
RC1091,Residential,2024-05,385
RC1092,Commercial,2024-01,1476
RC1092,Commercial,2024-02,1329
RC1092,Commercial,2024-03,979
RC1092,Commercial,2024-04,996
RC1092,Commercial,2024-05,1198
RC1093,Residential,2024-01,356
RC1093,Residential,2024-02,349
RC1093,Residential,2024-03,260
RC1093,Residential,2024-04,232
RC1093,Residential,2024-05,278
RC1094,Residential,2024-01,380
RC1094,Residential,2024-02,361
RC1094,Residential,2024-03,271
RC1094,Residential,2024-04,240
RC1094,Residential,2024-05,306
RC1095,Residential,2024-01,438
RC1095,Residential,2024-02,422
RC1095,Residential,2024-03,292
RC1095,Residential,2024-04,286
RC1095,Residential,2024-05,346
RC1096,Commercial,2024-01,1663
RC1096,Commercial,2024-02,1679
RC1096,Commercial,2024-03,1210
RC1096,Commercial,2024-04,1324
RC1096,Commercial,2024-05,1526
RC1097,Residential,2024-01,420
RC1097,Residential,2024-02,371
RC1097,Residential,2024-03,310
RC1097,Residential,2024-04,315
RC1097,Residential,2024-05,331
RC1098,Residential,2024-01,322
RC1098,Residential,2024-02,327
RC1098,Residential,2024-03,225
RC1098,Residential,2024-04,226
RC1098,Residential,2024-05,254
RC1099,Residential,2024-01,404
RC1099,Residential,2024-02,393
RC1099,Residential,2024-03,270
RC1099,Residential,2024-04,261
RC1099,Residential,2024-05,301
RC1100,Commercial,2024-01,1912
RC1100,Commercial,2024-02,2012
RC1100,Commercial,2024-03,1394
RC1100,Commercial,2024-04,1436
RC1100,Commercial,2024-05,1586
